accuracy,val_accuracy,loss,val_loss
7.267479300498962402e-01,9.987162947654724121e-01,5.835726857185363770e-01,2.075937762856483459e-02
9.993585348129272461e-01,9.987162947654724121e-01,1.320832967758178711e-02,9.407222270965576172e-03
9.993585348129272461e-01,9.987162947654724121e-01,5.041968543082475662e-03,6.280142348259687424e-03
9.987171292304992676e-01,9.602053761482238770e-01,6.084676366299390793e-03,9.698652476072311401e-02
9.634380936622619629e-01,9.987162947654724121e-01,1.288803219795227051e-01,1.523793954402208328e-02
9.980756640434265137e-01,9.987162947654724121e-01,8.698541671037673950e-03,7.965527474880218506e-03
9.993585348129272461e-01,9.987162947654724121e-01,5.589912645518779755e-03,6.281356792896986008e-03
9.993585348129272461e-01,9.987162947654724121e-01,5.115169100463390350e-03,1.124157384037971497e-02
9.993585348129272461e-01,9.987162947654724121e-01,4.862930625677108765e-03,5.799900274723768234e-03
9.993585348129272461e-01,9.987162947654724121e-01,3.021741285920143127e-03,2.723181620240211487e-03
9.993585348129272461e-01,9.987162947654724121e-01,2.040994819253683090e-03,2.389723435044288635e-03
9.993585348129272461e-01,9.987162947654724121e-01,1.343875774182379246e-03,2.315202029421925545e-03
9.993585348129272461e-01,9.987162947654724121e-01,1.104100490920245647e-03,1.892333617433905602e-03
9.993585348129272461e-01,9.987162947654724121e-01,9.471255470998585224e-04,1.713514328002929688e-03
9.993585348129272461e-01,9.987162947654724121e-01,8.662490290589630604e-04,1.620943308807909489e-03
9.993585348129272461e-01,9.987162947654724121e-01,8.086148882284760475e-04,1.540330471470952034e-03
9.993585348129272461e-01,9.987162947654724121e-01,7.769412477500736713e-04,1.479998580180108547e-03
9.993585348129272461e-01,9.987162947654724121e-01,7.366384961642324924e-04,1.430682139471173286e-03
9.993585348129272461e-01,9.987162947654724121e-01,7.174782222136855125e-04,1.385552110150456429e-03
9.993585348129272461e-01,9.987162947654724121e-01,6.751089822500944138e-04,1.328152487985789776e-03
9.993585348129272461e-01,9.987162947654724121e-01,6.498986622318625450e-04,1.282306970097124577e-03
9.993585348129272461e-01,9.987162947654724121e-01,6.354195647872984409e-04,1.225109561346471310e-03
9.993585348129272461e-01,9.987162947654724121e-01,6.153279682621359825e-04,1.183631364256143570e-03
9.993585348129272461e-01,9.987162947654724121e-01,6.034518592059612274e-04,1.126687740907073021e-03
9.993585348129272461e-01,1.000000000000000000e+00,5.741268978454172611e-04,1.077801338396966457e-03
